*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=cascade_trigger_01
*Date=17:18:37
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;56;THT;34.2534;-37.8415;90;Bottom;R LED 2
2;;;30.4166;-26.0435;0;Bottom;Copper Fill344
3;;;138.722;-19.7951;0;Bottom;Copper Fill172
4;;;10.9221;-63.2926;0;Bottom;Copper Fill381
5;;;58.3693;-77.1992;0;Bottom;Copper Fill20
6;;;122.25;-44.2426;0;Bottom;Copper Fill139
7;;;138.722;-32.4951;0;Bottom;Copper Fill194
8;;;144.755;-31.5426;0;Bottom;Copper Fill435
9;;;4.1402;-58.2126;0;Bottom;Copper Fill396
10;;;53.7465;-78.1898;0;Bottom;Copper Fill14
11;;;87.4015;-64.6007;0;Bottom;Copper Fill243
12;;;10.1133;-2.73438;180;Bottom;T1_15
13;;;17.7166;-62.4417;0;Bottom;Copper Fill326
14;;;39.3066;-51.4943;0;Bottom;Copper Fill440
15;;;123.076;-53.5771;0;Bottom;Copper Fill292
16;;;143.802;-35.6955;0;Bottom;Copper Fill437
17;;;49.1237;-8.68256;0;Bottom;Copper Fill469
18;;;24.9937;-8.68256;0;Bottom;Copper Fill518
19;;;12.7509;-20.0745;0;Bottom;Copper Fill281
20;4.7µF;100 mil [THT, electrolytic];5.03631;-64.5047;-90;Bottom;100µF
21;;;11.3666;-75.0656;0;Bottom;Copper Fill328
22;;;126.771;-64.4991;0;Bottom;Copper Fill50
23;;;12.6366;-7.75546;0;Bottom;Copper Fill500
24;;;130.759;-77.1738;0;Bottom;Copper Fill24
25;;;82.4993;-10.4987;0;Bottom;Copper Fill93
26;;;143.739;-72.1827;0;Bottom;Copper Fill169
27;10k;THT;60.9234;-25.1415;180;Bottom;Pdwn 10k6
28;;;24.9937;-8.68256;0;Bottom;Copper Fill233
29;;;2.8956;-16.3026;0;Bottom;Copper Fill213
30;;;54.5466;-2.65006;0;Bottom;Copper Fill219
31;;;7.5565;-2.70086;0;Bottom;Copper Fill492
32;;;4.572;-16.3026;0;Bottom;Copper Fill214
33;;;25.3366;-22.2335;0;Bottom;Copper Fill120
34;;DIP (Dual Inline) [THT];118.08;-67.0582;0;Bottom;driv 4
35;;;88.804;-70.1919;0;Bottom;Via9
36;;;23.1141;-8.68256;0;Bottom;Copper Fill517
37;;;95.3009;-45.4745;0;Bottom;Copper Fill260
38;;;28.8037;-75.9927;0;Bottom;Copper Fill360
39;;;12.8525;-20.0745;0;Bottom;Copper Fill74
40;;;144.666;-71.2556;0;Bottom;Copper Fill391
41;;;123.076;-50.1735;0;Bottom;Copper Fill305
42;;;93.1419;-54.5169;0;Bottom;Copper Fill62
